Player,Nation,Position,Current age,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Jules Koundé,fr FRA,DF,26-173,12.3,14,10,8,6,0,9,13,69.2,4,19,6,13,7,21,40,0,Matches
Raphinha,br BRA,"FW,MF",28-141,12.2,15,10,4,3,8,6,13,46.2,7,9,0,9,8,23,4,0,Matches
Pedri,es ESP,MF,22-160,11.2,34,25,15,12,7,12,31,38.7,19,23,1,22,6,40,5,0,Matches
Lamine Yamal,es ESP,FW,17-295,10.8,13,11,2,9,2,6,14,42.9,8,9,0,9,4,17,2,0,Matches
Robert Lewandowski,pl POL,FW,36-256,10.5,5,3,1,3,1,1,4,25.0,3,7,0,7,2,7,7,0,Matches
Pau Cubarsí,es ESP,DF,18-102,9.7,6,4,3,2,1,0,3,0.0,3,7,5,2,9,15,21,0,Matches
Iñigo Martínez,es ESP,DF,33-352,9.8,10,7,2,8,0,7,14,50.0,7,13,7,6,3,13,35,0,Matches
Alejandro Balde,es ESP,DF,21-198,8.9,8,7,7,0,1,5,10,50.0,5,9,3,6,5,13,9,2,Matches
Frenkie de Jong,nl NED,MF,27-357,7.6,17,8,2,13,2,4,11,36.4,7,5,2,3,11,28,5,3,Matches
Marc Casado,es ESP,MF,21-232,7.0,33,21,9,21,3,17,27,63.0,10,8,2,6,3,36,10,0,Matches
Wojciech Szczęsny,pl POL,GK,35-016,7.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,13,1,Matches
Iñaki Peña,es ESP,GK,26-063,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Dani Olmo,es ESP,MF,26-362,3.9,5,4,1,3,1,2,6,33.3,4,4,1,3,0,5,1,0,Matches
Ronald Araújo,uy URU,DF,26-058,5.3,12,5,10,1,1,5,6,83.3,1,13,8,5,2,14,32,2,Matches
Fermin López,es ESP,"MF,FW",21-358,4.6,6,5,2,2,2,2,13,15.4,11,8,1,7,1,7,4,0,Matches
Gerard Martín,es ESP,DF,23-123,3.6,6,5,2,4,0,4,8,50.0,4,4,1,3,7,13,13,0,Matches
Gavi,es ESP,MF,20-272,3.2,10,7,1,6,3,5,10,50.0,5,7,2,5,0,10,4,0,Matches
Ferrán Torres,es ESP,FW,25-064,3.7,1,0,0,0,1,1,3,33.3,2,6,3,3,1,2,4,0,Matches
Eric García,es ESP,"DF,MF",24-115,2.0,6,2,4,1,1,1,4,25.0,3,2,0,2,3,9,5,0,Matches
Marc-André ter Stegen,de GER,GK,33-004,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Ansu Fati,es ESP,"FW,MF",22-185,0.5,1,0,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
Pau Victor Delgado,es ESP,FW,23-159,0.4,2,1,1,1,0,2,4,50.0,2,1,0,1,0,2,1,0,Matches
Sergi Dominguez,es ESP,"DF,FW",20-033,0.4,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,2,0,Matches
Héctor Fort,es ESP,DF,18-275,0.3,2,1,0,0,2,1,2,50.0,1,0,0,0,1,3,0,0,Matches
Pablo Torre,es ESP,"FW,MF",22-031,0.2,1,1,0,0,1,1,2,50.0,1,1,0,1,1,2,0,0,Matches
Andreas Christensen,dk DEN,DF,29-024,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Andres Cuenca,es ESP,DF,17-327,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
