Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Jules Koundé,fr FRA,DF,26-173,12.3,17,1.39,16,0,0,0,1,0,3,0.24,3,0,0,0,0,0,Matches
Raphinha,br BRA,"FW,MF",28-141,12.2,67,5.47,43,11,5,3,2,3,11,0.90,5,3,1,2,0,0,Matches
Pedri,es ESP,MF,22-160,11.2,56,5.01,42,9,1,1,3,0,11,0.98,9,1,0,1,0,0,Matches
Lamine Yamal,es ESP,FW,17-295,10.8,54,4.99,34,0,12,4,4,0,11,1.02,6,0,2,1,2,0,Matches
Robert Lewandowski,pl POL,FW,36-256,10.5,17,1.62,11,0,0,3,3,0,3,0.29,1,0,0,0,2,0,Matches
Pau Cubarsí,es ESP,DF,18-102,9.7,13,1.34,10,0,0,2,0,1,3,0.31,2,0,0,1,0,0,Matches
Iñigo Martínez,es ESP,DF,33-352,9.8,8,0.82,7,0,0,1,0,0,3,0.31,2,0,0,1,0,0,Matches
Alejandro Balde,es ESP,DF,21-198,8.9,14,1.57,9,0,3,0,2,0,4,0.45,2,0,1,0,1,0,Matches
Frenkie de Jong,nl NED,MF,27-357,7.6,15,1.97,14,0,0,1,0,0,1,0.13,1,0,0,0,0,0,Matches
Marc Casado,es ESP,MF,21-232,7.0,19,2.70,17,0,0,2,0,0,3,0.43,3,0,0,0,0,0,Matches
Wojciech Szczęsny,pl POL,GK,35-016,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Iñaki Peña,es ESP,GK,26-063,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dani Olmo,es ESP,MF,26-362,3.9,22,5.63,13,3,4,2,0,0,3,0.77,1,0,2,0,0,0,Matches
Ronald Araújo,uy URU,DF,26-058,5.3,3,0.56,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fermin López,es ESP,"MF,FW",21-358,4.6,13,2.82,5,4,1,3,0,0,3,0.65,1,1,0,1,0,0,Matches
Gerard Martín,es ESP,DF,23-123,3.6,9,2.48,8,1,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
Gavi,es ESP,MF,20-272,3.2,8,2.53,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ferrán Torres,es ESP,FW,25-064,3.7,9,2.40,4,0,1,2,2,0,1,0.27,1,0,0,0,0,0,Matches
Eric García,es ESP,"DF,MF",24-115,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marc-André ter Stegen,de GER,GK,33-004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ansu Fati,es ESP,"FW,MF",22-185,0.5,1,2.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pau Victor Delgado,es ESP,FW,23-159,0.4,1,2.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sergi Dominguez,es ESP,"DF,FW",20-033,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Héctor Fort,es ESP,DF,18-275,0.3,1,3.33,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo Torre,es ESP,"FW,MF",22-031,0.2,1,4.29,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Andreas Christensen,dk DEN,DF,29-024,0.1,1,11.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andres Cuenca,es ESP,DF,17-327,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
