Player,Nation,Position,Current age,90s Played,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked,Matches
Jules Koundé,fr FRA,DF,26-173,12.3,816,701,114,21,2,3,23,93,0,0,0,0,707,1,10,Matches
Raphinha,br BRA,"FW,MF",28-141,12.2,541,472,67,15,3,4,57,10,34,19,4,0,399,2,13,Matches
Pedri,es ESP,MF,22-160,11.2,816,762,54,31,5,10,14,4,10,4,0,0,730,0,11,Matches
Lamine Yamal,es ESP,FW,17-295,10.8,479,467,11,4,11,2,27,4,3,0,0,0,361,1,11,Matches
Robert Lewandowski,pl POL,FW,36-256,10.5,203,197,5,1,2,1,3,0,0,0,0,0,147,1,8,Matches
Pau Cubarsí,es ESP,DF,18-102,9.7,794,770,23,18,0,4,0,0,0,0,0,0,743,1,3,Matches
Iñigo Martínez,es ESP,DF,33-352,9.8,794,752,42,31,0,6,3,4,0,0,0,0,725,0,4,Matches
Alejandro Balde,es ESP,DF,21-198,8.9,490,411,75,9,1,1,17,66,0,0,0,0,423,4,9,Matches
Frenkie de Jong,nl NED,MF,27-357,7.6,587,574,12,9,0,0,2,2,0,0,0,0,550,1,4,Matches
Marc Casado,es ESP,MF,21-232,7.0,506,490,16,14,2,2,2,1,0,0,0,0,461,0,1,Matches
Wojciech Szczęsny,pl POL,GK,35-016,7.0,284,231,53,24,0,0,0,0,0,0,0,0,233,0,0,Matches
Iñaki Peña,es ESP,GK,26-063,5.0,162,134,28,10,0,0,0,0,0,0,0,0,139,0,0,Matches
Dani Olmo,es ESP,MF,26-362,3.9,184,170,14,4,3,1,5,0,8,2,1,0,149,0,6,Matches
Ronald Araújo,uy URU,DF,26-058,5.3,350,339,11,10,0,2,0,0,0,0,0,0,321,0,0,Matches
Fermin López,es ESP,"MF,FW",21-358,4.6,176,166,10,2,1,2,6,0,5,2,0,0,149,0,3,Matches
Gerard Martín,es ESP,DF,23-123,3.6,243,209,34,4,0,2,8,30,0,0,0,0,201,0,4,Matches
Gavi,es ESP,MF,20-272,3.2,160,158,2,2,1,1,2,0,0,0,0,0,142,0,3,Matches
Ferrán Torres,es ESP,FW,25-064,3.7,74,65,8,0,0,0,3,1,1,1,0,0,60,1,1,Matches
Eric García,es ESP,"DF,MF",24-115,2.0,162,147,15,4,1,0,1,7,0,0,0,0,142,0,3,Matches
Marc-André ter Stegen,de GER,GK,33-004,1.0,56,49,7,1,0,0,0,0,0,0,0,0,39,0,0,Matches
Ansu Fati,es ESP,"FW,MF",22-185,0.5,25,25,0,0,1,0,1,0,0,0,0,0,21,0,1,Matches
Pau Victor Delgado,es ESP,FW,23-159,0.4,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
Sergi Dominguez,es ESP,"DF,FW",20-033,0.4,26,25,1,1,0,0,0,0,0,0,0,0,24,0,0,Matches
Héctor Fort,es ESP,DF,18-275,0.3,25,23,2,1,0,0,2,1,0,0,0,0,22,0,0,Matches
Pablo Torre,es ESP,"FW,MF",22-031,0.2,13,13,0,0,1,0,0,0,0,0,0,0,12,0,0,Matches
Andreas Christensen,dk DEN,DF,29-024,0.1,19,18,1,0,0,0,0,1,0,0,0,0,18,0,0,Matches
Andres Cuenca,es ESP,DF,17-327,0.1,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
