Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jules Koundé,fr FRA,DF,26-173,12.3,707,816,86.6,11169,3681,346,369,93.8,308,351,87.7,33,55,60.0,3,2.2,1.1,+0.8,10,39,8,4,47,Matches
Raphinha,br BRA,"FW,MF",28-141,12.2,399,541,73.8,6799,1652,210,245,85.7,117,165,70.9,56,87,64.4,8,7.2,4.6,+0.8,36,22,24,7,54,Matches
Pedri,es ESP,MF,22-160,11.2,730,816,89.5,12414,2886,354,376,94.1,282,306,92.2,69,96,71.9,2,1.9,2.6,+0.1,20,93,21,1,103,Matches
Lamine Yamal,es ESP,FW,17-295,10.8,361,479,75.4,5306,1565,201,234,85.9,128,170,75.3,16,38,42.1,3,2.1,2.4,+0.9,13,27,30,2,55,Matches
Robert Lewandowski,pl POL,FW,36-256,10.5,147,203,72.4,1837,469,99,119,83.2,34,49,69.4,5,11,45.5,0,1.5,0.8,-1.5,10,16,4,0,24,Matches
Pau Cubarsí,es ESP,DF,18-102,9.7,743,794,93.6,14845,5227,212,225,94.2,454,469,96.8,71,88,80.7,1,1.0,0.3,0.0,4,75,1,0,69,Matches
Iñigo Martínez,es ESP,DF,33-352,9.8,725,794,91.3,13232,4916,284,302,94.0,377,400,94.3,56,76,73.7,1,1.0,0.3,0.0,3,86,0,0,73,Matches
Alejandro Balde,es ESP,DF,21-198,8.9,423,490,86.3,6069,1169,246,266,92.5,155,174,89.1,12,24,50.0,2,0.5,0.5,+1.5,4,9,6,1,24,Matches
Frenkie de Jong,nl NED,MF,27-357,7.6,550,587,93.7,8679,2406,272,288,94.4,220,227,96.9,37,43,86.0,0,0.1,0.5,-0.1,5,64,4,1,49,Matches
Marc Casado,es ESP,MF,21-232,7.0,461,506,91.1,7291,1793,238,256,93.0,181,194,93.3,24,35,68.6,2,0.5,0.6,+1.5,9,44,2,1,47,Matches
Wojciech Szczęsny,pl POL,GK,35-016,7.0,233,284,82.0,5581,3069,39,39,100.0,145,146,99.3,48,98,49.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Iñaki Peña,es ESP,GK,26-063,5.0,139,162,85.8,2989,1743,28,28,100.0,94,94,100.0,17,40,42.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Dani Olmo,es ESP,MF,26-362,3.9,149,184,81.0,2292,580,80,91,87.9,39,52,75.0,15,18,83.3,1,0.8,0.7,+0.2,10,17,5,0,30,Matches
Ronald Araújo,uy URU,DF,26-058,5.3,321,350,91.7,5720,1519,112,120,93.3,194,202,96.0,12,24,50.0,0,0.0,0.1,0.0,0,9,0,0,7,Matches
Fermin López,es ESP,"MF,FW",21-358,4.6,149,176,84.7,2036,528,96,100,96.0,43,57,75.4,6,9,66.7,3,1.9,0.5,+1.1,6,12,3,0,15,Matches
Gerard Martín,es ESP,DF,23-123,3.6,201,243,82.7,3271,992,97,106,91.5,94,108,87.0,9,18,50.0,1,0.7,0.6,+0.3,5,8,3,2,14,Matches
Gavi,es ESP,MF,20-272,3.2,142,160,88.8,2127,450,76,82,92.7,51,55,92.7,7,10,70.0,0,0.2,0.1,-0.2,5,15,4,0,10,Matches
Ferrán Torres,es ESP,FW,25-064,3.7,60,74,81.1,970,208,25,29,86.2,27,31,87.1,3,5,60.0,1,0.5,0.2,+0.5,4,4,5,0,8,Matches
Eric García,es ESP,"DF,MF",24-115,2.0,142,162,87.7,2195,540,70,77,90.9,58,68,85.3,9,10,90.0,0,0.0,0.1,0.0,0,15,0,0,10,Matches
Marc-André ter Stegen,de GER,GK,33-004,1.0,39,56,69.6,1041,785,4,5,80.0,23,27,85.2,12,24,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ansu Fati,es ESP,"FW,MF",22-185,0.5,21,25,84.0,360,102,13,15,86.7,5,6,83.3,3,3,100.0,0,0.0,0.2,0.0,0,2,0,0,5,Matches
Pau Victor Delgado,es ESP,FW,23-159,0.4,11,12,91.7,129,47,7,8,87.5,3,3,100.0,0,0,,0,0.2,0.1,-0.2,1,2,1,0,1,Matches
Sergi Dominguez,es ESP,"DF,FW",20-033,0.4,24,26,92.3,410,195,11,12,91.7,13,13,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Héctor Fort,es ESP,DF,18-275,0.3,22,25,88.0,219,60,17,18,94.4,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Pablo Torre,es ESP,"FW,MF",22-031,0.2,12,13,92.3,147,76,10,10,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
Andreas Christensen,dk DEN,DF,29-024,0.1,18,19,94.7,321,98,8,9,88.9,10,10,100.0,0,0,,0,0.0,0.1,0.0,0,3,0,0,3,Matches
Andres Cuenca,es ESP,DF,17-327,0.1,9,9,100.0,127,23,4,4,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
