Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Jules Koundé,fr FRA,DF,26-173,13,"1,104",85,94.4,12.3,13,85,11,0,,0,2.23,36,19,+17,+1.39,-2.71,27.4,18.3,+9.2,+0.75,-0.97,Matches
Raphinha,br BRA,"FW,MF",28-141,13,"1,102",85,94.2,12.2,13,85,10,0,,0,2.23,37,18,+19,+1.55,+0.23,27.8,17.4,+10.4,+0.85,+0.74,Matches
Pedri,es ESP,MF,22-160,13,"1,005",77,85.9,11.2,12,81,3,1,32,0,2.23,36,17,+19,+1.70,+1.16,27.9,14.2,+13.7,+1.23,+3.03,Matches
Lamine Yamal,es ESP,FW,17-295,12,974,81,83.2,10.8,12,81,2,0,,0,2.17,34,19,+15,+1.39,-0.91,25.5,16.3,+9.2,+0.85,+0.30,Matches
Robert Lewandowski,pl POL,FW,36-256,12,944,79,80.7,10.5,12,79,2,0,,0,2.33,33,14,+19,+1.81,+1.41,25.6,14.1,+11.5,+1.09,+1.50,Matches
Pau Cubarsí,es ESP,DF,18-102,12,873,73,74.6,9.7,11,77,6,1,22,0,2.17,33,17,+16,+1.65,+0.44,24.5,15.4,+9.1,+0.94,+0.52,Matches
Iñigo Martínez,es ESP,DF,33-352,10,879,88,75.1,9.8,10,88,7,0,,1,2.50,32,11,+21,+2.15,+2.46,22.6,9.9,+12.6,+1.29,+1.97,Matches
Alejandro Balde,es ESP,DF,21-198,10,803,80,68.6,8.9,9,88,7,1,13,1,2.50,26,12,+14,+1.57,+0.10,20.0,13.9,+6.1,+0.68,-0.40,Matches
Frenkie de Jong,nl NED,MF,27-357,12,684,57,58.5,7.6,7,84,4,5,20,0,2.42,26,12,+14,+1.84,+0.73,17.5,11.7,+5.8,+0.76,-0.10,Matches
Marc Casado,es ESP,MF,21-232,10,633,63,54.1,7.0,7,86,6,3,11,0,2.50,22,10,+12,+1.71,+0.37,17.2,9.8,+7.4,+1.05,+0.53,Matches
Wojciech Szczęsny,pl POL,GK,35-016,7,630,90,53.8,7.0,7,90,7,0,,4,2.00,19,13,+6,+0.86,-1.48,15.0,12.8,+2.2,+0.31,-1.07,Matches
Iñaki Peña,es ESP,GK,26-063,5,450,90,38.5,5.0,5,90,5,0,,8,3.00,20,5,+15,+3.00,+2.38,14.0,4.8,+9.2,+1.84,+1.68,Matches
Dani Olmo,es ESP,MF,26-362,8,353,44,30.2,3.9,5,60,0,3,18,0,2.38,10,6,+4,+1.02,-0.74,8.3,2.9,+5.4,+1.38,+0.82,Matches
Ronald Araújo,uy URU,DF,26-058,7,478,68,40.9,5.3,4,90,4,3,39,1,2.00,13,11,+2,+0.38,-1.96,9.4,11.0,-1.6,-0.31,-1.88,Matches
Fermin López,es ESP,"MF,FW",21-358,10,415,42,35.5,4.6,4,70,0,6,23,1,2.30,18,7,+11,+2.39,+1.31,11.8,7.6,+4.2,+0.91,+0.16,Matches
Gerard Martín,es ESP,DF,23-123,7,326,47,27.9,3.6,4,76,2,3,8,6,1.86,11,7,+4,+1.10,-0.60,7.8,4.7,+3.1,+0.86,+0.08,Matches
Gavi,es ESP,MF,20-272,9,285,32,24.4,3.2,3,62,0,6,16,1,2.22,6,7,-1,-0.32,-2.45,5.6,7.3,-1.7,-0.54,-1.78,Matches
Ferrán Torres,es ESP,FW,25-064,10,337,34,28.8,3.7,2,90,2,8,20,0,2.00,15,6,+9,+2.40,+1.22,8.6,6.6,+2.0,+0.54,-0.37,Matches
Eric García,es ESP,"DF,MF",24-115,8,179,22,15.3,2.0,2,39,0,6,17,2,1.75,5,3,+2,+1.01,-0.63,4.0,2.7,+1.3,+0.67,-0.16,Matches
Marc-André ter Stegen,de GER,GK,33-004,1,90,90,7.7,1.0,1,90,1,0,,0,0.00,1,2,-1,-1.00,-2.75,0.4,1.3,-0.9,-0.91,-1.85,Matches
,,Playing Time,Starts,Subs,Team Success,Team Success (xG),,,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Ansu Fati,es ESP,"FW,MF",22-185,4,41,10,3.5,0.5,0,,0,4,10,7,2.25,1,0,+1,+2.20,+0.68,0.3,1.1,-0.8,-1.67,-2.56,Matches
Pau Victor Delgado,es ESP,FW,23-159,5,37,7,3.2,0.4,0,,0,5,7,8,2.60,1,1,0,0.00,-1.59,0.4,0.7,-0.3,-0.71,-1.56,Matches
Sergi Dominguez,es ESP,"DF,FW",20-033,2,35,18,3.0,0.4,0,,0,2,18,3,1.50,1,1,0,0.00,-1.59,0.4,0.2,+0.2,+0.54,-0.27,Matches
Héctor Fort,es ESP,DF,18-275,1,27,27,2.3,0.3,0,,0,1,27,12,3.00,1,0,+1,+3.33,+1.84,0.2,0.7,-0.4,-1.39,-2.25,Matches
Pablo Torre,es ESP,"FW,MF",22-031,2,21,11,1.8,0.2,0,,0,2,11,11,1.50,1,0,+1,+4.29,+2.80,0.5,0.0,+0.5,+2.24,+1.47,Matches
