Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jules Koundé,fr FRA,DF,26-173,13,13,"1,104",12.3,0,3,3,0,0,0,1,0,0.6,0.6,2.2,2.8,21,47,66,0.00,0.24,0.24,0.00,0.24,0.05,0.18,0.23,0.05,0.23,Matches
Raphinha,br BRA,"FW,MF",28-141,13,13,"1,102",12.2,12,8,20,12,0,0,0,0,5.7,5.7,7.2,12.9,43,54,132,0.98,0.65,1.63,0.98,1.63,0.46,0.59,1.05,0.46,1.05,Matches
Pedri,es ESP,MF,22-160,13,12,"1,005",11.2,0,2,2,0,0,0,0,0,0.4,0.4,1.9,2.3,26,103,32,0.00,0.18,0.18,0.00,0.18,0.03,0.17,0.20,0.03,0.20,Matches
Lamine Yamal,es ESP,FW,17-295,12,12,974,10.8,5,3,8,5,0,0,0,0,3.8,3.8,2.1,5.9,57,55,129,0.46,0.28,0.74,0.46,0.74,0.35,0.19,0.54,0.35,0.54,Matches
Robert Lewandowski,pl POL,FW,36-256,12,12,944,10.5,11,0,11,8,3,3,0,0,9.9,7.6,1.5,9.1,10,24,49,1.05,0.00,1.05,0.76,0.76,0.95,0.15,1.09,0.72,0.87,Matches
Pau Cubarsí,es ESP,DF,18-102,12,11,873,9.7,0,1,1,0,0,0,2,1,0.2,0.2,1.0,1.2,7,69,2,0.00,0.10,0.10,0.00,0.10,0.02,0.10,0.13,0.02,0.13,Matches
Iñigo Martínez,es ESP,DF,33-352,10,10,879,9.8,2,1,3,2,0,0,2,0,0.7,0.7,1.0,1.7,15,73,7,0.20,0.10,0.31,0.20,0.31,0.07,0.10,0.18,0.07,0.18,Matches
Alejandro Balde,es ESP,DF,21-198,10,9,803,8.9,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,28,24,63,0.00,0.22,0.22,0.00,0.22,0.02,0.06,0.08,0.02,0.08,Matches
Frenkie de Jong,nl NED,MF,27-357,12,7,684,7.6,0,0,0,0,0,0,2,0,1.0,1.0,0.1,1.1,9,49,13,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,Matches
Marc Casado,es ESP,MF,21-232,10,7,633,7.0,0,2,2,0,0,0,1,0,0.4,0.4,0.5,0.8,6,47,11,0.00,0.28,0.28,0.00,0.28,0.05,0.07,0.12,0.05,0.12,Matches
